Stage,Window,N_Points,ID_Bits,Authentication_Index,Training_Indices,PC,Explained_Variance_Ratio,Cumulative_Explained_Variance
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",55,0.0008914791891217167,0.9627571544780197
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",56,0.0008739971224607465,0.9636311516004804
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",57,0.0008613866294607683,0.9644925382299412
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",58,0.0008181517418910717,0.9653106899718322
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",59,0.0008016710055380282,0.9661123609773703
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",60,0.0007804867327990867,0.9668928477101694
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",61,0.0007476272828733965,0.9676404749930427
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",62,0.0007079400786267852,0.9683484150716695
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",63,0.0006982485111820711,0.9690466635828515
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",64,0.0006940213984056469,0.9697406849812572
1_Window_Selection,10k-1000k,500,64,5,"1,2,3,4",1,0.4993001399568312,0.4993001399568312
1_Window_Selection,10k-1000k,500,64,5,"1,2,3,4",2,0.15749341873789988,0.6567935586947311
1_Window_Selection,10k-1000k,500,64,5,"1,2,3,4",3,0.0398976347251319,0.696691193419863
1_Window_Selection,10k-1000k,500,64,5,"1,2,3,4",4,0.0380876184629974,0.7347788118828603
1_Window_Selection,10k-1000k,500,64,5,"1,2,3,4",5,0.024022244739580385,0.7588010566224407
1_Window_Selection,10k-1000k,500,64,5,"1,2,3,4",6,0.01788685966779774,0.7766879162902385
